,code,id,question,response
39,h6ckwdki,P4,govt_reduce_inequ,1.0
40,h6ckwdki,self,name,h6ckwdki
41,h6ckwdki,friend1,name,AntiClim
42,h6ckwdki,friend2,name,AntiMig
43,h6ckwdki,friend3,name,AntiGay
44,h6ckwdki,Green_Voter,name,Green_Voter
45,h6ckwdki,AfD_Voter,name,AfD_Voter
46,h6ckwdki,P1,name,P1
47,h6ckwdki,P2,name,P2
48,h6ckwdki,P3,name,P3
49,h6ckwdki,P4,name,P4
50,h6ckwdki,self,perceived_distances,
51,h6ckwdki,friend1,perceived_distances,228.76782271626655
52,h6ckwdki,friend2,perceived_distances,111.57114582171356
53,h6ckwdki,friend3,perceived_distances,164.34105251544463
54,h6ckwdki,Green_Voter,perceived_distances,286.0963344476203
55,h6ckwdki,AfD_Voter,perceived_distances,440.99890042776155
56,h6ckwdki,P1,perceived_distances,58.08486915955453
57,h6ckwdki,P2,perceived_distances,103.32484814661386
58,h6ckwdki,P3,perceived_distances,162.91219049057938
59,h6ckwdki,P4,perceived_distances,251.75521578158367
60,h6ckwdki,self,manhattan_distances,
61,h6ckwdki,friend1,manhattan_distances,1.25
62,h6ckwdki,friend2,manhattan_distances,2.0
63,h6ckwdki,friend3,manhattan_distances,1.0
64,h6ckwdki,Green_Voter,manhattan_distances,3.0
65,h6ckwdki,AfD_Voter,manhattan_distances,3.0
66,h6ckwdki,P1,manhattan_distances,0.0
67,h6ckwdki,P2,manhattan_distances,1.5
68,h6ckwdki,P3,manhattan_distances,3.0000000000000004
69,h6ckwdki,P4,manhattan_distances,4.5
70,h6ckwdki,self,euclidean_distances,
71,h6ckwdki,friend1,euclidean_distances,3.3166247903554
72,h6ckwdki,friend2,euclidean_distances,4.69041575982343
73,h6ckwdki,friend3,euclidean_distances,3.1622776601683795
74,h6ckwdki,Green_Voter,euclidean_distances,7.483314773547883
75,h6ckwdki,AfD_Voter,euclidean_distances,7.483314773547883
76,h6ckwdki,P1,euclidean_distances,0.0
77,h6ckwdki,P2,euclidean_distances,3.0
78,h6ckwdki,P3,euclidean_distances,6.249799996799898
79,h6ckwdki,P4,euclidean_distances,9.489204392360826
